127.0.0.1, 2014-08-20 14:30:09, GET, /, HTTP/1.1, 303, 0.001856
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.348944
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000561
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.007267
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002700
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000738
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.003686
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002789
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002852
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000695
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000654
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002602
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001319
127.0.0.1, 2014-08-20 14:30:10, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002427
127.0.0.1, 2014-08-20 14:30:11, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001443
127.0.0.1, 2014-08-20 14:30:11, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001186
127.0.0.1, 2014-08-20 14:30:11, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002687
127.0.0.1, 2014-08-20 14:30:12, GET, /welcome/default/linear-gradient(rgb(0, HTTP/1.1, 404, 0.018218
127.0.0.1, 2014-08-20 14:30:12, GET, /welcome/default/136, HTTP/1.1, 404, 0.027843
127.0.0.1, 2014-08-20 14:30:12, GET, /welcome/default/204, HTTP/1.1, 404, 0.035233
127.0.0.1, 2014-08-20 14:30:12, GET, /welcome/default/rgb(0, HTTP/1.1, 404, 0.046836
127.0.0.1, 2014-08-20 14:30:12, GET, /welcome/default/179), HTTP/1.1, 404, 0.059055
127.0.0.1, 2014-08-20 14:30:12, GET, /welcome/default/119, HTTP/1.1, 404, 0.071392
127.0.0.1, 2014-08-20 14:30:13, GET, /welcome/default/linear-gradient(rgb(0, HTTP/1.1, 404, 0.016742
127.0.0.1, 2014-08-20 14:30:13, GET, /welcome/default/204, HTTP/1.1, 404, 0.025817
127.0.0.1, 2014-08-20 14:30:13, GET, /welcome/default/rgb(0, HTTP/1.1, 404, 0.043939
127.0.0.1, 2014-08-20 14:30:13, GET, /welcome/default/179), HTTP/1.1, 404, 0.057736
127.0.0.1, 2014-08-20 14:30:13, GET, /welcome/default/136, HTTP/1.1, 404, 0.071885
127.0.0.1, 2014-08-20 14:30:13, GET, /welcome/default/119, HTTP/1.1, 404, 0.092563
